General Information;;;General Information;;;;;;;Metal/Commodity 1;;;Metal/Commodity 2;;;Metal/Commodity 3;;;Metal/Commodity 4;;;Shareholder data;;;;;Sources;;;;;;;;;;;;;
ID;ID Name;Name_Mine;Status;Type  [OP/UG];Processing Method;Latitude;Longitude;Name_Mining Company;ROM [Mt/a];Metal/Commodity;Avg. grade; Production [t/a] ;Metal2;Avg. Grade2; Production [t/a]4 ;Metal_3;Avg. Grade3;Production [kg/a];Metal_4;Avg. Grade_Metal_4;Production [kg/a]2;Name_Main Shareholder_1;Name_Main Shareholder_2;Name_Main Shareholder_3;Name_Main Shareholder_4;Name_Main Shareholder_5;Source_URL_1;Source_URL_2;Source_URL_3;Source_URL_4;;;;;;;;;;
2019;El Soldado;El Soldado;operational;OP;Flotation;32°39?16.8?S;71°08?24.8? W;Anglo American Sur S.A. (Operator);7,1;Cu;0,56%; 45800 t/a ;-;-;-;-;-;-;-; - ;-;Anglo American plc. (50,1%);Mitsui & Co, Ltd. (29,5%);Mitsubishi Materials Corp. (20,4%);-;-;https://miningdataonline.com/property/990/El-Soldado-Mine.aspx;;;;;;;;;;;;;
2020;Cerro Negro Norte;Cerro Negro Norte;operational;OP;Crushing & grinding plant, concentration plant;27° 06' 16'' S;70° 20' 05'' W;CAP S. A. (Operator);7,1;Fe;29,50%; 273000 t/a ;-;-;-;-; - ;-;-; - ;-;N/A;-;-;-;-;https://www.cmp.cl/capmineria/site/artic/20210405/asocfile/20210405103011/memoria_cmp_2020.pdf;;;;;;;;;;;;;
2021;Cerro Negro Norte;Cerro Negro Norte;operational;OP;Crushing & grinding plant, concentration plant;27° 06' 16'' S;70° 20' 05'' W;CAP S. A. (Operator);7,1;Fe;29,50%; 273000 t/a ;-;-;-;-; - ;-;-; - ;-;N/A;-;-;-;-;https://www.cmp.cl/capmineria/site/artic/20210405/asocfile/20210405103011/memoria_cmp_2020.pdf;;;;;;;;;;;;;
2036;El Bronce;El Bronce;care & maintanance (since 2015);UG; N/A ;32°13?31?S;70°57?56? W;Alxar Mineria; N/A ;Cu;N/A;N/A;-;-;-;Au;17.8 ppm;N/A;Ag;N/A;N/A;N/A;-;-;-;-;https://www.alxar.cl/_file/resumen-plan-de-cierre-temporal-parcial-el-bronce.pdf;https://thediggings.com/mines/usgs10105102;https://www.alxar.cl/que-hacemos/operaciones/el-bronce;https://www.miningweekly.com/print-version/el-bronce-petorca-chile-1999-07-23;;;;;;;;;;
2040;El Bronce;El Bronce;care & maintanance (since 2015);UG; N/A ;32°11?32?S;70°56?30? W;Alxar Mineria; N/A ;Cu;N/A;N/A;-;-;-;Au;17.8 ppm;N/A;Ag;N/A;N/A;N/A;-;-;-;-;https://www.alxar.cl/_file/resumen-plan-de-cierre-temporal-parcial-el-bronce.pdf;https://thediggings.com/mines/usgs10105102;https://www.alxar.cl/que-hacemos/operaciones/el-bronce;https://www.miningweekly.com/print-version/el-bronce-petorca-chile-1999-07-23;;;;;;;;;;
2058;Pimenton;Pimenton;operational;UG;Flotation;32°29?20?S;70°12?05? W;Cerro Grande Mining Corporation (operator);N/A;Cu;0,70%; 241.4 t/a ;N/A;N/A;2175 oz;Au;6.16 ppm;141 kg/a;Ag;6.21 ppm; N/A ;Cerro Grande Mining Corporation (100%);-;-;-;-;http://www.cegmining.com/sites/default/files/CEM_PIM_(final_Jul21)_Updated_Pimenton_Mine_Report_BB-JAM_July25-2016.pdf;http://www.cegmining.com/sites/default/files/2020/New_%20Release_September_14_2020.pdf;;;;;;;;;;;;
2076;Tres Valles;Tres Valles;operational;OP & UG;Heap leach, SX-EW;31°42?08?S;70°55?34? W;Minera Tres Valles;1,4;Cu;1,50%; 18500 t/a ;-;-;-;-;-;-;-;-;-;Vecchiola S. A (8,9%);Three Valley Copper Corp. (91,1 %);-;-;-;https://miningdataonline.com/property/3081/Tres-Valles-Mine.aspx#Processing;-;-;-;;;;;;;;;;
2077;Tres Valles;Tres Valles;operational;OP & UG;Heap leach, SX-EW;31°42?08?S;70°55?34? W;Minera Tres Valles;1,4;Cu;1,50%; 18501 t/a ;-;-;-;-;-;-;-;-;-;Vecchiola S. A (8,9%);Three Valley Copper Corp. (91,1 %);-;-;-;https://miningdataonline.com/property/3081/Tres-Valles-Mine.aspx#Processing;-;-;-;;;;;;;;;;
2078;Mine Los Pelambers;Los Pelambres;operational;OP;Flotation;31° 42' 50'' S;70° 29' 20'' W;Minera Los Pelambres S.A: (operator);55,0;Cu;0.7%; 359600 t/a ;Mo;210 ppm;10900;Au;0,05 ppm;1709,4762 kg/a;-; - ;-;Antofagasta PLC (60%);JX Nippon Mining & Metals Corp. (15,79%);Mitsubishi Materials Corp. (10%);Marubeni Corp. (9,21%);Mitsubishi Corp. (5%);https://miningdataonline.com/property/176/Los-Pelambres-Mine.aspx;https://www.mining-technology.com/projects/minera_los/;https://www.annualreports.com/HostedData/AnnualReports/PDF/LSE_ANTO_2020.pdf;;;;;;;;;;;
2080;Punitaqui;Punitaqui;operational;OP & UG;Flotation;30.86°S;71.23°W;Minera BMR SpA & Battery Mineral Resources Corp. (both operators);N/A;Cu;1,25%; 3100 t/a ;-;-;-;Au;0,07 ppm;113 kg/a;Ag; 5,64 ppm ;1219 kg/a;Xiana Mining Inc. (100%);-;-;-;-;https://miningdataonline.com/property/166/Punitaqui-Mine.aspx;;;;;;;;;;;;;
2082;Punitaqui;Punitaqui;operational;OP & UG;Flotation;30.86°S;71.23°W;Minera BMR SpA & Battery Mineral Resources Corp. (both operators);N/A;Cu;1,25%; 3100 t/a ;-;-;-;Au;0,07 ppm;113 kg/a;Ag; 5,64 ppm ;1219 kg/a;Xiana Mining Inc. (100%);-;-;-;-;https://miningdataonline.com/property/166/Punitaqui-Mine.aspx;;;;;;;;;;;;;
2086;Tres Valles;Tres Valles;operational;OP & UG;Heap leach, SX-EW;31°42?08?S;70°55?34? W;Minera Tres Valles;1,4;Cu;1,50%; 18502 t/a ;-;-;-;-;-;-;-;-;-;Vecchiola S. A (8,9%);Three Valley Copper Corp. (91,1 %);-;-;-;https://miningdataonline.com/property/3081/Tres-Valles-Mine.aspx#Processing;-;-;;;;;;;;;;;
2087;Tres Valles;Tres Valles;operational;OP & UG;Heap leach, SX-EW;31°42?08?S;70°55?34? W;Minera Tres Valles;1,4;Cu;1,50%; 18503 t/a ;-;-;-;-;-;-;-;-;-;Vecchiola S. A (8,9%);Three Valley Copper Corp. (91,1 %);-;-;-;https://miningdataonline.com/property/3081/Tres-Valles-Mine.aspx#Processing;-;-;;;;;;;;;;;
2088;Mine Los Pelambers;Los Pelambres;operational;OP;Flotation;31° 42' 50'' S;70° 29' 20'' W;Minera Los Pelambres S.A: (operator);56,0;Cu;0.7%; 359600 t/a ;Mo;211 ppm;10900;Au;0,05 ppm;1709,4762 kg/a;-; - ;-;Antofagasta PLC (60%);JX Nippon Mining & Metals Corp. (15,79%);Mitsubishi Materials Corp. (10%);Marubeni Corp. (9,21%);Mitsubishi Corp. (5%);https://miningdataonline.com/property/176/Los-Pelambres-Mine.aspx;https://www.mining-technology.com/projects/minera_los/;https://www.annualreports.com/HostedData/AnnualReports/PDF/LSE_ANTO_2020.pdf;;;;;;;;;;;
2089;Tres Valles;Tres Valles;operational;OP & UG;Heap leach, SX-EW;31°42?08?S;70°55?34? W;Minera Tres Valles;1,4;Cu;1,50%; 18504 t/a ;-;-;-;-;-;-;-;-;-;Vecchiola S. A (8,9%);Three Valley Copper Corp. (91,1 %);-;-;-;https://miningdataonline.com/property/3081/Tres-Valles-Mine.aspx#Processing;-;-;-;;;;;;;;;;
